# link_name	path	kind	feature	page	status	updated	title	aliases	links_out	code_refs
# generated by wiki-index.sh from business-docs/wiki — derived, do not hand-edit
token-administration-api	business-docs/wiki/features/token-administration/api.md	feature	token-administration	api	stub	2026-08-29	Token administration — API		0002-no-openapi-for-an-mcp-surface,0003-bearer-tokens-not-oauth-for-the-mvp,0012-only-the-token-hash-is-stored,audit-logging,authentication-index,divergences,mcp-protocol,token-administration-states	business-docs/wiki/shared/mvp-spec.md:238
token-administration-copy	business-docs/wiki/features/token-administration/copy.md	feature	token-administration	copy	stub	2026-08-29	Token administration — copy		0011-a-missing-permission-is-a-type-error,0012-only-the-token-hash-is-stored,divergences,error-codes,mvp-spec,security,token-administration-screens	business-docs/wiki/shared/mvp-spec.md:240
token-administration-decisions	business-docs/wiki/features/token-administration/decisions.md	feature	token-administration	decisions	stub	2026-08-29	Token administration — decisions		0001-the-wiki-is-the-source-of-truth,0002-no-openapi-for-an-mcp-surface,0003-bearer-tokens-not-oauth-for-the-mvp,0010-two-layer-permission-enforcement,0011-a-missing-permission-is-a-type-error,0012-only-the-token-hash-is-stored,0018-token-identity-is-constrained-in-the-database,0022-oauth-alongside-bearer-tokens,audit-logging,authentication-index,authorization-index,divergences,security,token-administration-api,token-administration-states	
token-administration-errors	business-docs/wiki/features/token-administration/errors.md	feature	token-administration	errors	stub	2026-08-29	Token administration — errors		authentication-index,divergences,error-codes,security,token-administration-states,token-administration-validations	business-docs/wiki/shared/mvp-spec.md:153
token-administration-flow	business-docs/wiki/features/token-administration/flow.md	feature	token-administration	flow	stub	2026-08-29	Token administration — flow		0003-bearer-tokens-not-oauth-for-the-mvp,0012-only-the-token-hash-is-stored,audit-logging,authentication-index,divergences,security,token-administration-screens,token-administration-states,user-administration-index	business-docs/wiki/shared/mvp-spec.md:238
token-administration-index	business-docs/wiki/features/token-administration/index.md	feature	token-administration	index	stub	2026-08-29	Token administration	token-administration	0012-only-the-token-hash-is-stored,0018-token-identity-is-constrained-in-the-database,0022-oauth-alongside-bearer-tokens,audit-logging,authentication-index,authorization-index,divergences,mvp-spec,security,token-administration-api,token-administration-copy,token-administration-decisions,token-administration-errors,token-administration-flow,token-administration-related,token-administration-screens,token-administration-states,token-administration-validations,user-administration-index	business-docs/wiki/shared/mvp-spec.md:238
token-administration-related	business-docs/wiki/features/token-administration/related.md	feature	token-administration	related	stub	2026-08-29	Token administration — related		audit-logging,authentication-index,authorization-index,cellar-index,data-types,divergences,error-codes,glossary,mcp-protocol,preferences-index,recommendation-engine-index,reviews-index,security,token-administration-decisions,user-administration-index,wine-catalog-index	
token-administration-screens	business-docs/wiki/features/token-administration/screens.md	feature	token-administration	screens	stub	2026-08-29	Token administration — screens		mcp-protocol,token-administration-copy	business-docs/wiki/shared/mvp-spec.md:53
token-administration-states	business-docs/wiki/features/token-administration/states.md	feature	token-administration	states	stub	2026-08-29	Token administration — states		divergences,security	business-docs/wiki/shared/mvp-spec.md:74
token-administration-validations	business-docs/wiki/features/token-administration/validations.md	feature	token-administration	validations	stub	2026-08-29	Token administration — validations		0010-two-layer-permission-enforcement,0012-only-the-token-hash-is-stored,audit-logging,authorization-index,divergences,security	business-docs/wiki/shared/mvp-spec.md:238
user-administration-api	business-docs/wiki/features/user-administration/api.md	feature	user-administration	api	stub	2026-08-29	User administration — API		0002-no-openapi-for-an-mcp-surface,0012-only-the-token-hash-is-stored,audit-logging,divergences,error-codes,mcp-protocol,security,token-administration-index,user-administration-copy,user-administration-validations,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:219
user-administration-copy	business-docs/wiki/features/user-administration/copy.md	feature	user-administration	copy	stub	2026-08-29	User administration — copy		0011-a-missing-permission-is-a-type-error,0012-only-the-token-hash-is-stored,divergences,security,user-administration-screens	business-docs/wiki/shared/mvp-spec.md:153
user-administration-decisions	business-docs/wiki/features/user-administration/decisions.md	feature	user-administration	decisions	stub	2026-08-29	User administration — decisions		0002-no-openapi-for-an-mcp-surface,0003-bearer-tokens-not-oauth-for-the-mvp,0010-two-layer-permission-enforcement,0011-a-missing-permission-is-a-type-error,0012-only-the-token-hash-is-stored,0013-the-first-admin-is-seeded-by-script,0015-closed-enumerations-are-database-types,0017-deletion-is-a-status-and-email-is-unique-among-the-living,0020-bounds-are-enforced-in-the-database-too,audit-logging,security,user-administration-api,user-administration-validations	
user-administration-errors	business-docs/wiki/features/user-administration/errors.md	feature	user-administration	errors	stub	2026-08-29	User administration — errors		0015-closed-enumerations-are-database-types,0017-deletion-is-a-status-and-email-is-unique-among-the-living,audit-logging,authentication-index,authorization-index,divergences,error-codes,security,token-administration-index	business-docs/wiki/shared/mvp-spec.md:153,business-docs/wiki/shared/mvp-spec.md:230
user-administration-flow	business-docs/wiki/features/user-administration/flow.md	feature	user-administration	flow	stub	2026-08-29	User administration — flow		0003-bearer-tokens-not-oauth-for-the-mvp,0010-two-layer-permission-enforcement,0012-only-the-token-hash-is-stored,0013-the-first-admin-is-seeded-by-script,audit-logging,security,token-administration-index,user-administration-errors,user-administration-screens,user-administration-states	business-docs/wiki/shared/mvp-spec.md:219
user-administration-index	business-docs/wiki/features/user-administration/index.md	feature	user-administration	index	stub	2026-08-29	User administration	user-administration	0012-only-the-token-hash-is-stored,0013-the-first-admin-is-seeded-by-script,0015-closed-enumerations-are-database-types,0017-deletion-is-a-status-and-email-is-unique-among-the-living,authentication-index,authorization-index,divergences,mvp-spec,token-administration-index,user-administration-api,user-administration-copy,user-administration-decisions,user-administration-errors,user-administration-flow,user-administration-related,user-administration-screens,user-administration-states,user-administration-validations	business-docs/wiki/shared/mvp-spec.md:219
user-administration-related	business-docs/wiki/features/user-administration/related.md	feature	user-administration	related	stub	2026-08-29	User administration — related		audit-logging,authentication-index,authorization-index,cellar-index,data-types,divergences,error-codes,glossary,mcp-protocol,preferences-index,recommendation-engine-index,reviews-index,security,token-administration-index,wine-catalog-index	
user-administration-screens	business-docs/wiki/features/user-administration/screens.md	feature	user-administration	screens	stub	2026-08-29	User administration — screens		mcp-protocol,security,user-administration-api,user-administration-copy,user-administration-validations	business-docs/wiki/shared/mvp-spec.md:53
user-administration-states	business-docs/wiki/features/user-administration/states.md	feature	user-administration	states	stub	2026-08-29	User administration — states		0013-the-first-admin-is-seeded-by-script,0017-deletion-is-a-status-and-email-is-unique-among-the-living,authorization-index,mvp-spec,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:71,business-docs/wiki/shared/mvp-spec.md:229
user-administration-validations	business-docs/wiki/features/user-administration/validations.md	feature	user-administration	validations	stub	2026-08-29	User administration — validations		0010-two-layer-permission-enforcement,0013-the-first-admin-is-seeded-by-script,divergences,user-administration-states	business-docs/wiki/shared/mvp-spec.md:221,business-docs/wiki/shared/mvp-spec.md:230
wine-catalog-api	business-docs/wiki/features/wine-catalog/api.md	feature	wine-catalog	api	stub	2026-08-29	Wine catalogue — API		0002-no-openapi-for-an-mcp-surface,authorization-index,cellar-index,mcp-protocol,reviews-index,wine-catalog-errors,wine-catalog-states	business-docs/wiki/shared/mvp-spec.md:172,business-docs/wiki/shared/mvp-spec.md:132
wine-catalog-copy	business-docs/wiki/features/wine-catalog/copy.md	feature	wine-catalog	copy	stub	2026-08-29	Wine catalogue — copy		0007-upsert-fills-blanks-and-never-overwrites	business-docs/wiki/shared/mvp-spec.md:153,business-docs/wiki/shared/mvp-spec.md:180
wine-catalog-decisions	business-docs/wiki/features/wine-catalog/decisions.md	feature	wine-catalog	decisions	stub	2026-08-29	Wine catalogue — decisions		0001-the-wiki-is-the-source-of-truth,0002-no-openapi-for-an-mcp-surface,0006-missing-data-never-penalizes,0007-upsert-fills-blanks-and-never-overwrites,0008-wine-and-cellar-item-are-separate,0009-vision-happens-client-side,0010-two-layer-permission-enforcement,0015-closed-enumerations-are-database-types,0016-nv-is-a-value-in-the-wine-identity-key,0019-bottles-are-held-as-lots,0020-bounds-are-enforced-in-the-database-too,0021-wine-search-is-full-text-plus-trigram,cellar-index,divergences,mvp-spec,recommendation-engine-index,wine-catalog-api	
wine-catalog-errors	business-docs/wiki/features/wine-catalog/errors.md	feature	wine-catalog	errors	stub	2026-08-29	Wine catalogue — errors		0007-upsert-fills-blanks-and-never-overwrites,authentication-index,divergences,error-codes,token-administration-index	business-docs/wiki/shared/mvp-spec.md:153,business-docs/wiki/shared/mvp-spec.md:343
wine-catalog-flow	business-docs/wiki/features/wine-catalog/flow.md	feature	wine-catalog	flow	stub	2026-08-29	Wine catalogue — flow		0007-upsert-fills-blanks-and-never-overwrites,0009-vision-happens-client-side,authentication-index,authorization-index,cellar-index,mcp-protocol,mvp-spec	business-docs/wiki/shared/mvp-spec.md:25,business-docs/wiki/shared/mvp-spec.md:174
wine-catalog-index	business-docs/wiki/features/wine-catalog/index.md	feature	wine-catalog	index	stub	2026-08-29	Wine catalogue	wine-catalog	0007-upsert-fills-blanks-and-never-overwrites,0008-wine-and-cellar-item-are-separate,0016-nv-is-a-value-in-the-wine-identity-key,0020-bounds-are-enforced-in-the-database-too,0021-wine-search-is-full-text-plus-trigram,authentication-index,authorization-index,cellar-index,data-types,divergences,mvp-spec,recommendation-engine-index,reviews-index,wine-catalog-api,wine-catalog-copy,wine-catalog-decisions,wine-catalog-errors,wine-catalog-flow,wine-catalog-related,wine-catalog-screens,wine-catalog-states,wine-catalog-validations	business-docs/wiki/shared/mvp-spec.md:84,business-docs/wiki/shared/mvp-spec.md:172
wine-catalog-related	business-docs/wiki/features/wine-catalog/related.md	feature	wine-catalog	related	stub	2026-08-29	Wine catalogue — related		0006-missing-data-never-penalizes,0008-wine-and-cellar-item-are-separate,0011-a-missing-permission-is-a-type-error,audit-logging,authentication-index,authorization-index,cellar-index,data-types,divergences,error-codes,glossary,mcp-protocol,preferences-index,recommendation-engine-index,reviews-index,security,token-administration-index,user-administration-index	
wine-catalog-screens	business-docs/wiki/features/wine-catalog/screens.md	feature	wine-catalog	screens	stub	2026-08-29	Wine catalogue — screens		mcp-protocol,wine-catalog-api	business-docs/wiki/shared/mvp-spec.md:53
wine-catalog-states	business-docs/wiki/features/wine-catalog/states.md	feature	wine-catalog	states	stub	2026-08-29	Wine catalogue — states		0006-missing-data-never-penalizes,0007-upsert-fills-blanks-and-never-overwrites,data-types,glossary,mcp-protocol,reviews-index,wine-catalog-errors	business-docs/wiki/shared/mvp-spec.md:84,business-docs/wiki/shared/mvp-spec.md:98
wine-catalog-validations	business-docs/wiki/features/wine-catalog/validations.md	feature	wine-catalog	validations	stub	2026-08-29	Wine catalogue — validations		authentication-index,divergences,security	business-docs/wiki/shared/mvp-spec.md:105,business-docs/wiki/shared/mvp-spec.md:175
audit-logging	business-docs/wiki/shared/audit-logging.md	shared		audit-logging	stub	2026-08-29	Audit logging		security,token-administration-index,user-administration-index	business-docs/wiki/shared/mvp-spec.md:357
data-types	business-docs/wiki/shared/data-types.md	shared		data-types	stub	2026-08-29	Shared data types		0015-closed-enumerations-are-database-types,0016-nv-is-a-value-in-the-wine-identity-key,0020-bounds-are-enforced-in-the-database-too,authentication-index,authorization-index,cellar-index,preferences-index,recommendation-engine-index,user-administration-index,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:98
divergences	business-docs/wiki/shared/divergences.md	shared		divergences	stub	2026-08-29	Divergences		0005-every-point-of-score-maps-to-a-reason,0007-upsert-fills-blanks-and-never-overwrites,0011-a-missing-permission-is-a-type-error,0014-repurpose-this-repository,0015-closed-enumerations-are-database-types,0016-nv-is-a-value-in-the-wine-identity-key,0017-deletion-is-a-status-and-email-is-unique-among-the-living,0018-token-identity-is-constrained-in-the-database,0019-bottles-are-held-as-lots,0020-bounds-are-enforced-in-the-database-too,0021-wine-search-is-full-text-plus-trigram,0022-oauth-alongside-bearer-tokens,audit-logging,authentication-index,authorization-index,cellar-index,mvp-spec,preferences-index,recommendation-engine-index,reviews-index,token-administration-index,user-administration-index,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:235
error-codes	business-docs/wiki/shared/error-codes.md	shared		error-codes	stub	2026-08-29	Error catalogue		authorization-index,token-administration-index,user-administration-index	business-docs/wiki/shared/mvp-spec.md:153
glossary	business-docs/wiki/shared/glossary.md	shared		glossary	stub	2026-08-29	Glossary		authorization-index,cellar-index,divergences,glossary,preferences-index,recommendation-engine-index,token-administration-index,wine-catalog-index	business-docs/wiki/shared/mvp-spec.md:57
mcp-protocol	business-docs/wiki/shared/mcp-protocol.md	shared		mcp-protocol	stub	2026-08-29	MCP protocol conventions		0002-no-openapi-for-an-mcp-surface,security	business-docs/wiki/shared/mvp-spec.md:19
mvp-spec	business-docs/wiki/shared/mvp-spec.md	shared		mvp-spec	stub	2026-08-29	Wine Cellar MCP			business-docs/wiki/shared/mvp-spec.md:15
security	business-docs/wiki/shared/security.md	shared		security	stub	2026-08-29	Security		0021-wine-search-is-full-text-plus-trigram	business-docs/wiki/shared/mvp-spec.md:325
